,Small LowVol,Small Neutral,Small HighVol,Big LowVol,Big Neutral,Big HighVol,Rm-Rf,Rf,SLV-Rf,BLV-Rf,SHV-Rf,BHV-Rf,VOL,Conservative,Speculative,CMS
Nov-78,1.93%,7.16%,9.89%,2.56%,2.45%,6.40%,2.71%,0.70%,1.23%,1.86%,9.19%,5.70%,-3.12%,0.60%,4.35%,-2.70%
Dec-78,1.57%,2.77%,2.19%,1.51%,1.56%,1.97%,0.88%,0.78%,0.79%,0.73%,1.41%,1.19%,0.06%,1.47%,0.19%,1.38%
Jan-79,6.32%,9.55%,10.42%,3.72%,4.65%,6.21%,4.23%,0.77%,5.55%,2.95%,9.65%,5.44%,0.24%,4.81%,6.16%,0.34%
Feb-79,-1.24%,-2.60%,-3.34%,-2.10%,-3.67%,-3.87%,-3.56%,0.73%,-1.97%,-2.83%,-4.07%,-4.60%,-0.20%,-3.75%,-3.65%,-1.60%
Mar-79,5.78%,10.36%,12.30%,3.84%,7.14%,10.15%,5.68%,0.81%,4.97%,3.03%,11.49%,9.34%,-1.77%,5.04%,10.67%,-2.16%
Apr-79,2.20%,2.51%,3.21%,-0.02%,1.17%,0.04%,-0.06%,0.80%,1.40%,-0.82%,2.41%,-0.76%,-0.11%,0.77%,-0.12%,0.95%
May-79,-0.56%,-1.78%,-1.74%,-0.90%,-1.82%,-1.90%,-2.21%,0.82%,-1.38%,-1.72%,-2.56%,-2.72%,-0.29%,-1.89%,-1.72%,-0.90%
Jun-79,4.08%,6.33%,6.20%,3.00%,5.34%,7.89%,3.85%,0.81%,3.27%,2.19%,5.39%,7.08%,-0.64%,3.76%,6.96%,-0.75%
Jul-79,3.77%,2.96%,1.87%,0.41%,2.12%,2.65%,0.82%,0.77%,3.00%,-0.36%,1.10%,1.88%,0.66%,1.21%,4.15%,-1.56%
Aug-79,5.69%,9.02%,9.00%,4.46%,7.17%,8.45%,5.53%,0.77%,4.92%,3.69%,8.23%,7.68%,0.38%,5.72%,8.08%,0.76%
Sep-79,-0.39%,-0.84%,0.06%,-0.60%,0.49%,1.31%,-0.82%,0.83%,-1.22%,-1.43%,-0.77%,0.48%,-1.70%,-0.13%,-1.36%,0.81%
Oct-79,-9.35%,-10.57%,-11.91%,-5.69%,-7.24%,-8.28%,-8.10%,0.87%,-10.22%,-6.56%,-12.78%,-9.15%,-3.76%,-9.03%,-11.65%,-1.93%
Nov-79,4.58%,8.35%,11.13%,4.01%,6.52%,10.40%,5.21%,0.99%,3.59%,3.02%,10.14%,9.41%,-2.42%,6.36%,7.14%,1.88%
Dec-79,2.89%,6.21%,9.13%,-0.38%,3.08%,7.28%,1.79%,0.95%,1.94%,-1.33%,8.18%,6.33%,-4.58%,1.45%,4.64%,-1.73%
Jan-80,4.27%,8.08%,11.05%,3.96%,6.09%,11.62%,5.51%,0.80%,3.47%,3.16%,10.25%,10.82%,-2.64%,5.77%,5.66%,2.38%
Feb-80,-4.29%,-3.39%,-0.34%,0.95%,-1.56%,0.63%,-1.22%,0.89%,-5.18%,0.06%,-1.23%,-0.26%,-2.60%,-2.48%,-5.89%,1.57%
Mar-80,-11.50%,-15.84%,-22.22%,-6.72%,-11.65%,-18.53%,-12.90%,1.21%,-12.71%,-7.93%,-23.43%,-19.74%,0.88%,-13.80%,-15.86%,-3.34%
Apr-80,7.19%,5.37%,6.80%,5.55%,4.20%,5.89%,3.97%,1.26%,5.93%,4.29%,5.54%,4.63%,3.29%,3.60%,3.28%,1.29%
May-80,7.71%,8.88%,8.43%,5.44%,5.40%,7.20%,5.26%,0.81%,6.90%,4.63%,7.62%,6.39%,2.77%,8.21%,8.24%,2.36%
Jun-80,4.29%,3.94%,5.07%,2.56%,3.55%,5.92%,3.06%,0.61%,3.68%,1.95%,4.46%,5.31%,0.25%,2.35%,2.67%,0.40%
Jul-80,6.54%,11.48%,11.76%,4.62%,6.83%,10.47%,6.49%,0.53%,6.01%,4.09%,11.23%,9.94%,-0.53%,4.46%,10.76%,-3.45%
Aug-80,2.42%,6.02%,8.82%,0.94%,1.17%,5.55%,1.80%,0.64%,1.78%,0.30%,8.18%,4.91%,-2.93%,-0.11%,2.36%,-1.84%
Sep-80,2.02%,3.64%,4.10%,-0.20%,5.07%,5.12%,2.19%,0.75%,1.27%,-0.95%,3.35%,4.37%,-2.50%,0.48%,2.71%,-1.49%
Oct-80,0.53%,2.82%,5.89%,0.07%,2.99%,2.65%,1.06%,0.95%,-0.42%,-0.88%,4.94%,1.70%,-2.90%,0.95%,0.23%,0.80%
Nov-80,1.30%,5.14%,11.80%,5.98%,14.75%,14.54%,9.59%,0.96%,0.34%,5.02%,10.84%,13.58%,-3.99%,4.76%,7.44%,-0.54%
Dec-80,1.15%,-2.56%,-5.09%,1.21%,-5.39%,-6.37%,-4.52%,1.31%,-0.16%,-0.10%,-6.40%,-7.68%,4.46%,-2.65%,-6.14%,1.82%
Jan-81,2.65%,1.45%,-3.03%,0.26%,-6.56%,-8.90%,-5.04%,1.04%,1.61%,-0.78%,-4.07%,-9.94%,5.06%,-0.85%,-4.35%,2.38%
Feb-81,2.64%,2.32%,-0.71%,3.15%,1.56%,0.17%,0.57%,1.07%,1.57%,2.08%,-1.78%,-0.90%,3.50%,2.62%,0.91%,2.22%
Mar-81,6.13%,8.78%,7.98%,3.04%,4.53%,5.52%,3.56%,1.21%,4.92%,1.83%,6.77%,4.31%,1.07%,6.02%,7.71%,0.81%
Apr-81,3.96%,3.97%,1.24%,0.61%,-3.35%,-3.26%,-2.11%,1.08%,2.88%,-0.47%,0.16%,-4.34%,2.81%,0.33%,-0.74%,0.92%
May-81,1.42%,2.87%,4.75%,1.95%,-0.46%,1.11%,0.11%,1.15%,0.27%,0.80%,3.60%,-0.04%,-0.20%,1.32%,1.82%,0.04%
Jun-81,3.13%,-0.49%,-4.69%,0.19%,-1.43%,-1.08%,-2.36%,1.35%,1.78%,-1.16%,-6.04%,-2.43%,2.72%,-0.55%,-6.28%,4.17%
Jul-81,-1.64%,-2.35%,-2.46%,-2.13%,0.51%,3.45%,-1.54%,1.24%,-2.88%,-3.37%,-3.70%,2.21%,-4.29%,-4.17%,1.21%,-5.38%
Aug-81,-3.45%,-6.29%,-10.65%,-3.95%,-5.49%,-7.85%,-7.04%,1.28%,-4.73%,-5.23%,-11.93%,-9.13%,-0.77%,-5.82%,-9.01%,0.63%
Sep-81,-3.78%,-6.33%,-11.11%,-1.44%,-6.83%,-10.23%,-7.17%,1.24%,-5.02%,-2.68%,-12.35%,-11.47%,2.06%,-5.18%,-12.06%,3.50%
Oct-81,6.22%,7.15%,9.73%,2.90%,5.63%,10.73%,4.92%,1.21%,5.01%,1.69%,8.52%,9.52%,-1.07%,6.11%,8.25%,0.54%
Nov-81,5.82%,3.67%,1.04%,5.20%,3.77%,4.76%,3.36%,1.07%,4.75%,4.13%,-0.03%,3.69%,5.46%,3.01%,2.87%,1.17%
Dec-81,-0.41%,-0.85%,-2.79%,-1.94%,-2.62%,-4.88%,-3.65%,0.87%,-1.28%,-2.81%,-3.66%,-5.75%,-0.14%,-3.28%,-4.34%,-0.31%
Jan-82,-2.35%,-3.29%,-4.22%,1.82%,-3.22%,-7.21%,-3.24%,0.80%,-3.15%,1.02%,-5.02%,-8.01%,3.05%,-1.01%,-7.38%,4.51%
Feb-82,-1.46%,-4.18%,-6.40%,-1.83%,-5.09%,-9.73%,-5.86%,0.92%,-2.38%,-2.75%,-7.32%,-10.65%,1.87%,-0.32%,-10.93%,7.90%
Mar-82,0.07%,-0.12%,-2.30%,1.27%,-1.15%,-3.65%,-1.87%,0.98%,-0.91%,0.29%,-3.28%,-4.63%,2.19%,0.85%,-5.13%,4.78%
Apr-82,4.36%,5.67%,6.26%,3.24%,4.77%,5.42%,3.27%,1.13%,3.23%,2.11%,5.13%,4.29%,0.98%,3.09%,3.13%,1.26%
May-82,-0.90%,-3.25%,-3.86%,-2.56%,-3.71%,-2.16%,-3.99%,1.06%,-1.96%,-3.62%,-4.92%,-3.22%,-1.87%,-3.41%,-6.50%,0.90%
Jun-82,-1.81%,-1.80%,-4.63%,-0.45%,-1.82%,-4.47%,-3.09%,0.96%,-2.77%,-1.41%,-5.59%,-5.43%,0.50%,-1.50%,-7.55%,3.88%
Jul-82,-0.57%,-0.71%,-2.14%,-0.27%,-2.33%,-6.71%,-3.19%,1.05%,-1.62%,-1.32%,-3.19%,-7.76%,1.34%,-0.36%,-5.30%,3.53%
Aug-82,7.36%,9.44%,8.66%,12.00%,13.90%,11.52%,11.14%,0.76%,6.60%,11.24%,7.90%,10.76%,8.17%,9.23%,13.66%,0.68%
Sep-82,6.31%,3.98%,1.79%,1.40%,1.91%,1.03%,1.29%,0.51%,5.80%,0.89%,1.28%,0.52%,4.13%,2.93%,-2.06%,5.06%
Oct-82,10.97%,12.47%,18.19%,9.40%,13.12%,13.98%,11.30%,0.59%,10.38%,8.81%,17.60%,13.39%,3.53%,9.20%,18.27%,-2.87%
Nov-82,7.30%,9.79%,7.90%,4.07%,5.71%,4.31%,4.67%,0.63%,6.67%,3.44%,7.27%,3.68%,3.74%,5.89%,3.52%,4.74%
Dec-82,1.37%,0.88%,1.80%,1.86%,0.40%,1.44%,0.55%,0.67%,0.70%,1.19%,1.13%,0.77%,0.77%,0.71%,-1.12%,1.71%
Jan-83,3.84%,5.98%,10.68%,3.08%,3.17%,5.08%,3.60%,0.69%,3.15%,2.39%,9.99%,4.39%,-0.94%,0.48%,6.80%,-4.47%
Feb-83,4.86%,6.60%,4.41%,1.92%,4.43%,2.22%,2.59%,0.62%,4.24%,1.30%,3.79%,1.60%,2.07%,3.77%,-0.08%,4.83%
Mar-83,5.44%,5.40%,3.90%,2.51%,4.29%,3.27%,2.82%,0.63%,4.81%,1.88%,3.27%,2.64%,2.76%,5.47%,0.98%,6.20%
Apr-83,7.42%,7.11%,7.27%,7.34%,7.39%,6.99%,6.67%,0.71%,6.71%,6.63%,6.56%,6.28%,5.78%,6.15%,3.49%,6.02%
May-83,4.31%,6.50%,9.41%,-2.49%,0.83%,3.45%,0.52%,0.69%,3.62%,-3.18%,8.72%,2.76%,-3.94%,0.88%,5.74%,-3.05%
Jun-83,2.60%,5.33%,4.87%,1.98%,4.10%,6.54%,3.07%,0.67%,1.93%,1.31%,4.20%,5.87%,-1.17%,1.81%,4.00%,-0.42%
Jul-83,0.98%,-1.16%,-4.71%,-1.80%,-3.27%,-5.87%,-4.07%,0.74%,0.24%,-2.54%,-5.45%,-6.61%,2.68%,-2.65%,-5.33%,0.21%
Aug-83,-1.06%,-2.80%,-4.40%,2.06%,0.17%,0.36%,-0.50%,0.76%,-1.82%,1.30%,-5.16%,-0.40%,1.63%,-1.54%,-0.73%,-1.60%
Sep-83,5.13%,3.36%,-0.63%,3.49%,1.28%,-0.98%,0.91%,0.76%,4.37%,2.73%,-1.39%,-1.74%,6.88%,3.40%,-0.14%,4.83%
Oct-83,-0.84%,-5.56%,-9.38%,0.85%,-2.95%,-5.23%,-3.44%,0.76%,-1.60%,0.09%,-10.14%,-5.99%,4.89%,-1.97%,-7.23%,2.81%
Nov-83,3.59%,5.61%,4.98%,1.06%,3.37%,4.07%,2.16%,0.70%,2.89%,0.36%,4.28%,3.37%,-0.26%,3.29%,4.81%,0.87%
Dec-83,0.37%,-0.78%,-3.58%,-1.34%,-0.27%,-0.86%,-1.78%,0.73%,-0.36%,-2.07%,-4.31%,-1.59%,0.37%,-0.33%,-2.74%,1.55%
Jan-84,0.70%,-1.51%,-1.77%,-0.54%,-1.14%,-2.57%,-1.92%,0.76%,-0.06%,-1.30%,-2.53%,-3.33%,1.21%,-1.47%,-5.67%,2.18%
Feb-84,-3.44%,-5.05%,-6.38%,-2.80%,-5.36%,-4.04%,-4.82%,0.71%,-4.15%,-3.51%,-7.09%,-4.75%,-0.85%,-4.94%,-7.91%,-0.70%
Mar-84,1.01%,1.45%,0.30%,0.37%,2.64%,1.61%,0.63%,0.73%,0.28%,-0.36%,-0.43%,0.88%,-0.26%,1.79%,-0.59%,2.64%
Apr-84,0.18%,-0.32%,-1.85%,1.35%,0.14%,-0.24%,-0.51%,0.81%,-0.63%,0.54%,-2.66%,-1.05%,1.35%,0.21%,-3.14%,2.49%
May-84,-2.48%,-5.01%,-7.03%,-3.67%,-5.70%,-7.36%,-5.97%,0.78%,-3.26%,-4.45%,-7.81%,-8.14%,0.78%,-4.40%,-8.67%,0.60%
Jun-84,3.11%,3.23%,2.14%,2.72%,2.42%,2.17%,1.82%,0.75%,2.36%,1.97%,1.39%,1.42%,1.84%,2.25%,2.40%,1.10%
Jul-84,-0.70%,-3.68%,-8.05%,-0.30%,-2.24%,-3.94%,-2.74%,0.82%,-1.52%,-1.12%,-8.87%,-4.76%,3.35%,-1.08%,-7.92%,4.28%
Aug-84,7.88%,12.47%,14.26%,9.95%,11.36%,14.31%,10.28%,0.83%,7.05%,9.12%,13.43%,13.48%,0.89%,7.22%,16.49%,-2.45%
Sep-84,2.39%,-0.17%,-2.54%,1.46%,-1.05%,-1.50%,-0.80%,0.86%,1.53%,0.60%,-3.40%,-2.36%,3.58%,2.18%,-5.06%,6.27%
Oct-84,1.68%,-1.81%,-3.99%,1.69%,-0.41%,-0.98%,-0.84%,1.00%,0.68%,0.69%,-4.99%,-1.98%,3.54%,1.52%,-4.85%,5.29%
Nov-84,1.33%,-2.01%,-5.71%,-0.01%,-1.30%,-2.14%,-1.76%,0.73%,0.60%,-0.74%,-6.44%,-2.87%,3.45%,0.12%,-5.15%,3.64%
Dec-84,2.84%,1.93%,1.12%,2.67%,2.18%,2.53%,1.84%,0.64%,2.20%,2.03%,0.48%,1.89%,1.95%,2.18%,1.82%,1.73%
Jan-85,8.29%,11.70%,15.13%,5.65%,8.90%,11.72%,7.99%,0.65%,7.64%,5.00%,14.48%,11.07%,-1.04%,4.12%,12.81%,-2.83%
Feb-85,2.46%,2.08%,2.36%,2.01%,1.96%,0.15%,1.22%,0.58%,1.88%,1.43%,1.78%,-0.43%,1.79%,2.00%,-1.06%,3.54%
Mar-85,0.83%,-2.42%,-3.85%,1.35%,-0.46%,-2.15%,-0.84%,0.62%,0.21%,0.73%,-4.47%,-2.77%,3.29%,3.36%,-4.92%,7.84%
Apr-85,2.33%,-1.20%,-3.66%,0.36%,-0.27%,-2.00%,-0.96%,0.72%,1.61%,-0.36%,-4.38%,-2.72%,3.47%,1.20%,-4.79%,4.80%
May-85,3.35%,3.70%,2.39%,5.48%,7.05%,6.14%,5.09%,0.66%,2.69%,4.82%,1.73%,5.48%,2.19%,6.29%,2.24%,7.20%
Jun-85,3.30%,1.27%,-0.75%,1.78%,1.21%,2.40%,1.27%,0.55%,2.75%,1.23%,-1.30%,1.85%,2.46%,3.60%,-2.06%,6.33%
Jul-85,1.86%,2.75%,2.87%,-1.38%,-0.08%,1.02%,-0.74%,0.62%,1.24%,-2.00%,2.25%,0.40%,-1.37%,-3.27%,2.95%,-6.49%
Aug-85,1.26%,-1.04%,-1.71%,0.21%,-0.49%,-1.94%,-1.02%,0.55%,0.71%,-0.34%,-2.26%,-2.49%,2.09%,1.19%,-3.86%,4.19%
Sep-85,-2.23%,-4.92%,-9.00%,-2.14%,-4.31%,-5.18%,-4.54%,0.60%,-2.83%,-2.74%,-9.60%,-5.78%,1.54%,-4.17%,-8.56%,-0.04%
Oct-85,4.35%,4.38%,2.48%,4.81%,4.82%,4.63%,4.02%,0.65%,3.70%,4.16%,1.83%,3.98%,3.19%,6.05%,-0.82%,8.56%
Nov-85,6.37%,6.47%,7.51%,6.77%,7.07%,7.54%,6.48%,0.61%,5.76%,6.16%,6.90%,6.93%,3.24%,6.00%,7.74%,2.32%
Dec-85,4.44%,3.59%,3.88%,5.37%,3.90%,3.38%,3.88%,0.65%,3.79%,4.72%,3.23%,2.73%,3.71%,4.47%,2.84%,3.89%
Jan-86,1.23%,0.77%,2.32%,-0.05%,1.56%,2.37%,0.65%,0.56%,0.67%,-0.61%,1.76%,1.81%,-1.23%,1.76%,-0.44%,2.60%
Feb-86,7.29%,6.58%,7.25%,7.17%,8.59%,7.77%,7.13%,0.53%,6.76%,6.64%,6.72%,7.24%,3.99%,7.62%,6.41%,5.14%
Mar-86,5.33%,5.56%,2.98%,5.67%,5.77%,4.70%,4.88%,0.60%,4.73%,5.07%,2.38%,4.10%,4.14%,5.75%,3.37%,4.80%
Apr-86,1.35%,0.50%,2.33%,-0.58%,-2.07%,-1.01%,-1.31%,0.52%,0.83%,-1.10%,1.81%,-1.53%,-0.15%,-0.80%,0.09%,-1.07%
May-86,4.17%,3.97%,3.53%,4.89%,5.95%,4.74%,4.62%,0.49%,3.68%,4.40%,3.04%,4.25%,2.73%,6.15%,2.68%,5.81%
Jun-86,2.14%,0.31%,-1.57%,2.55%,1.21%,-0.68%,1.03%,0.52%,1.62%,2.03%,-2.09%,-1.20%,3.72%,3.97%,-4.18%,7.87%
Jul-86,-4.39%,-9.19%,-12.14%,-3.46%,-6.77%,-8.46%,-6.45%,0.52%,-4.91%,-3.98%,-12.66%,-8.98%,2.14%,-3.75%,-10.15%,2.69%
Aug-86,3.53%,3.69%,3.51%,6.67%,7.41%,7.35%,6.07%,0.46%,3.07%,6.21%,3.05%,6.89%,2.23%,4.36%,6.75%,0.59%
Sep-86,-5.05%,-4.73%,-8.24%,-8.51%,-7.99%,-7.82%,-8.60%,0.45%,-5.50%,-8.96%,-8.69%,-8.27%,-3.11%,-9.98%,-6.22%,-8.25%
Oct-86,2.42%,3.09%,3.91%,4.94%,5.77%,6.70%,4.66%,0.46%,1.96%,4.48%,3.45%,6.24%,0.17%,6.20%,3.50%,4.59%
Nov-86,-0.36%,0.24%,-1.80%,2.61%,1.86%,0.43%,1.17%,0.39%,-0.75%,2.22%,-2.19%,0.04%,1.62%,0.23%,-0.91%,0.98%
Dec-86,-1.72%,-1.70%,-4.45%,-2.38%,-2.79%,-3.70%,-3.27%,0.49%,-2.21%,-2.87%,-4.94%,-4.19%,0.42%,-2.98%,-3.72%,-0.56%
Jan-87,9.14%,10.48%,15.13%,11.93%,13.40%,15.48%,12.47%,0.42%,8.72%,11.51%,14.71%,15.06%,0.87%,11.26%,14.70%,1.44%
Feb-87,5.01%,7.68%,10.07%,2.47%,5.44%,7.64%,4.39%,0.43%,4.58%,2.04%,9.64%,7.21%,-2.27%,0.36%,8.81%,-6.51%
Mar-87,2.03%,2.23%,2.30%,2.04%,2.08%,1.87%,1.64%,0.47%,1.56%,1.57%,1.83%,1.40%,0.79%,-0.13%,0.31%,-0.40%
Apr-87,-3.24%,-2.99%,-2.56%,-1.61%,-1.93%,-0.04%,-2.11%,0.44%,-3.68%,-2.05%,-3.00%,-0.48%,-2.58%,-2.99%,-3.74%,-0.73%
May-87,0.07%,-0.23%,-0.43%,0.58%,1.03%,0.30%,0.11%,0.38%,-0.31%,0.20%,-0.81%,-0.08%,0.24%,1.09%,1.55%,0.10%
Jun-87,4.63%,3.87%,0.16%,5.33%,5.30%,2.48%,3.94%,0.48%,4.15%,4.85%,-0.32%,2.00%,5.12%,4.96%,-0.04%,5.99%
Jul-87,3.92%,3.73%,2.83%,3.06%,5.58%,5.65%,3.85%,0.46%,3.46%,2.60%,2.37%,5.19%,0.93%,4.00%,3.01%,2.43%
Aug-87,3.96%,3.00%,2.74%,4.56%,3.56%,4.29%,3.52%,0.47%,3.49%,4.09%,2.27%,3.82%,2.40%,1.92%,3.50%,-0.50%
Sep-87,-1.15%,-1.45%,-2.88%,-2.59%,-2.29%,-1.18%,-2.59%,0.45%,-1.60%,-3.04%,-3.33%,-1.63%,-0.86%,-1.81%,-3.80%,1.10%
Oct-87,-21.00%,-29.78%,-34.53%,-16.57%,-23.51%,-28.34%,-23.24%,0.60%,-21.60%,-17.17%,-35.13%,-28.94%,1.85%,-23.12%,-31.82%,0.72%
Nov-87,-2.14%,-5.44%,-7.26%,-8.07%,-7.56%,-7.25%,-7.77%,0.35%,-2.49%,-8.42%,-7.61%,-7.60%,-0.58%,-6.39%,-6.65%,-1.36%
Dec-87,5.06%,8.28%,8.54%,3.92%,8.98%,11.35%,6.81%,0.39%,4.67%,3.53%,8.15%,10.96%,-2.80%,9.27%,6.80%,4.15%
Jan-88,4.51%,6.01%,4.71%,6.17%,4.02%,1.31%,4.21%,0.29%,4.22%,5.88%,4.42%,1.02%,4.06%,5.16%,5.58%,0.75%
Feb-88,6.71%,9.72%,8.06%,1.47%,6.91%,8.12%,4.75%,0.46%,6.25%,1.01%,7.60%,7.66%,-1.75%,2.96%,8.63%,-4.31%
Mar-88,2.71%,4.54%,3.45%,-4.13%,-1.94%,-1.16%,-2.27%,0.44%,2.27%,-4.57%,3.01%,-1.60%,-1.83%,-1.68%,0.75%,-2.36%
Apr-88,1.48%,1.23%,1.89%,1.10%,0.44%,1.53%,0.56%,0.46%,1.02%,0.64%,1.43%,1.07%,0.00%,0.26%,0.05%,0.23%
May-88,-0.96%,-1.02%,-3.70%,2.13%,-0.07%,-1.46%,-0.29%,0.51%,-1.47%,1.62%,-4.21%,-1.97%,2.57%,0.74%,-0.29%,1.00%
Jun-88,6.08%,7.28%,5.77%,3.58%,5.57%,7.02%,4.79%,0.49%,5.59%,3.09%,5.28%,6.53%,0.44%,2.57%,8.78%,-4.80%
Jul-88,-0.09%,-0.87%,-1.00%,0.06%,-0.50%,-2.56%,-1.25%,0.51%,-0.60%,-0.45%,-1.51%,-3.07%,1.26%,-1.10%,-3.23%,1.57%
Aug-88,-1.02%,-2.09%,-4.29%,-1.83%,-2.86%,-4.51%,-3.31%,0.59%,-1.61%,-2.42%,-4.88%,-5.10%,1.63%,-1.36%,-3.93%,1.86%
Sep-88,3.30%,2.31%,1.47%,4.19%,4.59%,3.36%,3.30%,0.62%,2.68%,3.57%,0.85%,2.74%,2.31%,3.34%,2.53%,1.35%
Oct-88,0.55%,-0.86%,-2.93%,2.60%,2.70%,0.92%,1.15%,0.61%,-0.06%,1.99%,-3.54%,0.31%,2.43%,2.76%,-2.30%,4.82%
Nov-88,-1.51%,-3.68%,-4.81%,-0.97%,-1.93%,-1.92%,-2.29%,0.57%,-2.08%,-1.54%,-5.38%,-2.49%,0.99%,-2.07%,-3.63%,0.88%
Dec-88,2.15%,3.72%,4.45%,1.19%,1.94%,3.23%,1.49%,0.63%,1.52%,0.56%,3.82%,2.60%,-1.34%,1.02%,4.20%,-2.47%
Jan-89,2.91%,5.13%,5.61%,5.66%,7.27%,8.30%,6.10%,0.55%,2.36%,5.11%,5.06%,7.75%,-0.72%,3.95%,7.47%,-2.11%
Feb-89,1.11%,0.95%,0.38%,-2.63%,-2.00%,-1.33%,-2.25%,0.61%,0.50%,-3.24%,-0.23%,-1.94%,-0.74%,-0.91%,-2.46%,1.09%
Mar-89,2.12%,2.32%,3.04%,1.97%,3.43%,0.84%,1.57%,0.67%,1.45%,1.30%,2.37%,0.17%,0.69%,2.48%,-0.97%,3.43%
Apr-89,3.97%,3.44%,3.64%,5.44%,5.02%,4.91%,4.33%,0.67%,3.30%,4.77%,2.97%,4.24%,2.04%,3.72%,4.57%,0.20%
May-89,2.93%,3.98%,3.79%,4.20%,4.09%,4.68%,3.35%,0.79%,2.14%,3.41%,3.00%,3.89%,0.61%,3.61%,5.20%,-0.44%
Jun-89,0.99%,-1.56%,-4.80%,0.41%,-0.30%,-3.26%,-1.35%,0.71%,0.28%,-0.30%,-5.51%,-3.97%,3.81%,1.31%,-5.35%,5.76%
Jul-89,3.46%,4.10%,3.56%,8.41%,9.11%,7.77%,7.20%,0.70%,2.76%,7.71%,2.86%,7.07%,2.36%,6.76%,1.21%,6.31%
Aug-89,2.86%,2.93%,1.93%,0.02%,2.48%,4.84%,1.44%,0.74%,2.12%,-0.72%,1.19%,4.10%,-1.25%,1.29%,2.47%,-0.71%
Sep-89,0.30%,-0.59%,0.54%,1.00%,-1.23%,-0.45%,-0.76%,0.65%,-0.35%,0.35%,-0.11%,-1.10%,0.49%,-0.04%,-2.32%,1.91%
Oct-89,-3.20%,-7.92%,-7.32%,-0.36%,-3.15%,-5.52%,-3.67%,0.68%,-3.88%,-1.04%,-8.00%,-6.20%,2.61%,-2.34%,-8.30%,4.27%
Nov-89,0.33%,0.00%,1.17%,2.26%,1.73%,1.09%,1.03%,0.69%,-0.36%,1.57%,0.48%,0.40%,0.40%,1.54%,1.41%,0.54%
Dec-89,0.47%,-0.69%,-0.68%,3.47%,1.30%,0.65%,1.16%,0.61%,-0.14%,2.86%,-1.29%,0.04%,2.16%,1.76%,-0.53%,2.33%
Jan-90,-6.89%,-9.64%,-9.89%,-6.91%,-6.92%,-7.37%,-7.85%,0.57%,-7.46%,-7.48%,-10.46%,-7.94%,-1.95%,-8.72%,-11.36%,-0.37%
Feb-90,1.21%,3.52%,4.63%,0.28%,1.87%,3.65%,1.11%,0.57%,0.64%,-0.29%,4.06%,3.08%,-2.65%,0.01%,4.58%,-3.64%
Mar-90,1.94%,3.99%,4.31%,1.83%,2.66%,3.08%,1.83%,0.64%,1.30%,1.19%,3.67%,2.44%,-0.95%,0.61%,2.92%,-1.71%
Apr-90,-2.77%,-4.28%,-4.31%,-2.03%,-2.68%,-3.40%,-3.36%,0.69%,-3.46%,-2.72%,-5.00%,-4.09%,-0.10%,-5.02%,-6.17%,-0.31%
May-90,3.29%,7.47%,9.15%,8.85%,8.91%,11.87%,8.42%,0.68%,2.61%,8.17%,8.47%,11.19%,-1.36%,6.00%,9.66%,-1.47%
Jun-90,-0.22%,0.77%,0.47%,-0.16%,-0.67%,-1.36%,-1.09%,0.63%,-0.85%,-0.79%,-0.16%,-1.99%,-0.14%,-0.34%,-1.70%,1.01%
Jul-90,-2.39%,-4.90%,-5.07%,1.20%,-1.74%,-4.39%,-1.90%,0.68%,-3.07%,0.52%,-5.75%,-5.07%,2.70%,0.55%,-8.92%,7.64%
Aug-90,-8.83%,-14.37%,-16.80%,-7.32%,-10.34%,-10.88%,-10.15%,0.66%,-9.49%,-7.98%,-17.46%,-11.54%,0.57%,-9.08%,-15.40%,2.30%
Sep-90,-6.23%,-11.07%,-12.01%,-1.47%,-7.61%,-8.85%,-6.12%,0.60%,-6.83%,-2.07%,-12.61%,-9.45%,3.11%,-3.55%,-13.57%,6.69%
Oct-90,-4.71%,-7.39%,-7.60%,2.06%,-1.82%,-5.42%,-1.92%,0.68%,-5.39%,1.38%,-8.28%,-6.10%,3.11%,1.96%,-8.30%,8.42%
Nov-90,4.76%,8.87%,8.89%,5.03%,7.50%,10.85%,6.35%,0.57%,4.19%,4.46%,8.32%,10.28%,-1.91%,4.55%,12.77%,-4.30%
Dec-90,3.93%,4.97%,0.98%,1.95%,3.55%,5.92%,2.46%,0.60%,3.33%,1.35%,0.38%,5.32%,0.84%,2.01%,4.53%,-0.75%
Jan-91,4.59%,9.56%,11.32%,1.58%,7.10%,10.51%,4.69%,0.52%,4.07%,1.06%,10.80%,9.99%,-4.82%,0.93%,10.41%,-5.95%
Feb-91,9.50%,12.90%,14.88%,6.54%,6.87%,9.97%,7.19%,0.48%,9.02%,6.06%,14.40%,9.49%,0.86%,5.06%,12.69%,-1.90%
Mar-91,4.23%,6.72%,9.25%,2.24%,2.86%,3.66%,2.65%,0.44%,3.79%,1.80%,8.81%,3.22%,-0.87%,2.46%,4.60%,0.17%
Apr-91,2.13%,0.99%,-0.65%,-0.14%,0.19%,1.15%,-0.28%,0.53%,1.60%,-0.67%,-1.18%,0.62%,0.72%,0.82%,1.08%,0.36%
May-91,2.98%,4.69%,3.30%,2.03%,5.76%,6.03%,3.65%,0.47%,2.51%,1.56%,2.83%,5.56%,-0.54%,2.31%,3.23%,0.92%
