,Small LowVol,Small Neutral,Small HighVol,Big LowVol,Big Neutral,Big HighVol,Rm-Rf,Rf,SLV-Rf,BLV-Rf,SHV-Rf,BHV-Rf,VOL,Conservative,Speculative,CMS
Jun-39,-4.90%,-12.34%,-14.65%,-2.50%,-7.92%,-11.06%,-5.31%,0.01%,-4.91%,-2.51%,-14.66%,-11.07%,3.59%,-3.88%,-15.25%,4.08%
Jul-39,10.79%,19.74%,18.60%,6.25%,13.22%,19.57%,10.24%,0.00%,10.79%,6.25%,18.60%,19.57%,-1.93%,8.86%,20.02%,-1.03%
Aug-39,-8.31%,-13.92%,-15.91%,-4.37%,-7.95%,-12.75%,-6.68%,-0.01%,-8.30%,-4.36%,-15.90%,-12.74%,1.34%,-6.43%,-15.05%,0.97%
Sep-39,27.36%,52.64%,61.96%,7.11%,24.22%,34.87%,16.88%,0.01%,27.35%,7.10%,61.95%,34.86%,-9.59%,6.18%,71.70%,-31.96%
Oct-39,4.02%,-1.13%,-10.08%,0.87%,-1.83%,-3.08%,-0.53%,0.00%,4.02%,0.87%,-10.08%,-3.08%,6.10%,4.67%,-7.96%,9.41%
Nov-39,-3.48%,-10.46%,-17.88%,-0.86%,-4.44%,-11.73%,-3.62%,0.00%,-3.48%,-0.86%,-17.88%,-11.73%,5.69%,-0.81%,-13.93%,5.65%
Dec-39,1.95%,2.28%,2.71%,2.63%,3.50%,3.15%,3.03%,0.00%,1.95%,2.63%,2.71%,3.15%,1.27%,3.60%,-1.57%,5.09%
Jan-40,0.45%,-2.93%,-7.79%,-0.28%,-3.74%,-8.83%,-2.41%,0.00%,0.45%,-0.28%,-7.79%,-8.83%,4.69%,1.18%,-5.62%,4.10%
Feb-40,2.54%,5.51%,4.34%,0.99%,1.16%,3.42%,1.44%,0.00%,2.54%,0.99%,4.34%,3.42%,-0.14%,2.27%,2.17%,1.71%
Mar-40,2.22%,4.18%,0.33%,1.41%,2.50%,2.64%,2.05%,0.00%,2.22%,1.41%,0.33%,2.64%,1.24%,2.19%,0.88%,2.22%
Apr-40,0.80%,1.75%,4.74%,0.30%,-0.68%,1.36%,0.22%,0.00%,0.80%,0.30%,4.74%,1.36%,-0.96%,0.66%,-1.46%,1.50%
May-40,-24.18%,-30.58%,-34.05%,-19.12%,-24.20%,-26.66%,-21.95%,-0.02%,-24.16%,-19.10%,-34.03%,-26.64%,-9.53%,-22.77%,-33.26%,-11.90%
Jun-40,6.43%,6.58%,7.91%,6.20%,6.51%,9.89%,6.67%,0.00%,6.43%,6.20%,7.91%,9.89%,2.37%,6.93%,10.52%,2.89%
Jul-40,4.20%,4.44%,1.81%,1.81%,5.18%,3.02%,3.16%,0.01%,4.19%,1.80%,1.80%,3.01%,1.93%,4.13%,-0.70%,5.19%
Aug-40,2.08%,4.15%,2.79%,1.40%,3.31%,3.08%,2.19%,-0.01%,2.09%,1.41%,2.80%,3.09%,0.32%,1.75%,2.48%,0.80%
Sep-40,3.65%,5.50%,4.92%,1.88%,2.71%,3.33%,2.39%,0.00%,3.65%,1.88%,4.92%,3.33%,0.81%,3.49%,3.68%,2.21%
Oct-40,1.66%,8.78%,7.40%,0.29%,4.70%,11.23%,3.02%,0.00%,1.66%,0.29%,7.40%,11.23%,-4.51%,2.72%,6.90%,-0.24%
Nov-40,3.50%,-0.63%,-1.13%,-2.59%,0.33%,-2.45%,-1.61%,0.00%,3.50%,-2.59%,-1.13%,-2.45%,1.01%,2.39%,-2.47%,4.06%
Dec-40,-2.09%,-0.32%,-2.66%,1.52%,-0.12%,0.23%,0.69%,0.00%,-2.09%,1.52%,-2.66%,0.23%,0.61%,-0.75%,-4.24%,1.16%
Jan-41,1.81%,-3.02%,-4.23%,-2.63%,-6.03%,-6.92%,-4.17%,-0.01%,1.82%,-2.62%,-4.22%,-6.91%,2.34%,-0.97%,1.44%,-1.90%
